Provincia,Tipo de Parto,Rango de Edad,Cantidad,Año
Distrito Nacional,Vaginal,Menor de 15,131,2020
Monte Plata,Vaginal,Menor de 15,13,2020
Santo Domingo,Vaginal,Menor de 15,80,2020
Peravia,Vaginal,Menor de 15,14,2020
San Cristóbal,Vaginal,Menor de 15,48,2020
San José De Ocoa,Vaginal,Menor de 15,7,2020
Espaillat,Vaginal,Menor de 15,6,2020
Puerto Plata,Vaginal,Menor de 15,19,2020
Santiago,Vaginal,Menor de 15,45,2020
Duarte,Vaginal,Menor de 15,18,2020
Hermanas Mirabal,Vaginal,Menor de 15,0,2020
María Trinidad Sánchez,Vaginal,Menor de 15,6,2020
Samaná,Vaginal,Menor de 15,6,2020
Bahoruco,Vaginal,Menor de 15,6,2020
Barahona,Vaginal,Menor de 15,22,2020
Independencia,Vaginal,Menor de 15,3,2020
Pedernales,Vaginal,Menor de 15,0,2020
El Seibo,Vaginal,Menor de 15,4,2020
Hato Mayor,Vaginal,Menor de 15,10,2020
La Altagracia,Vaginal,Menor de 15,24,2020
La Romana,Vaginal,Menor de 15,24,2020
San Pedro De Macorís,Vaginal,Menor de 15,19,2020
Azua,Vaginal,Menor de 15,13,2020
Elías Piña,Vaginal,Menor de 15,9,2020
San Juan,Vaginal,Menor de 15,21,2020
Dajabón,Vaginal,Menor de 15,1,2020
Monte Cristi,Vaginal,Menor de 15,11,2020
Santiago Rodríguez,Vaginal,Menor de 15,4,2020
Valverde,Vaginal,Menor de 15,16,2020
La Vega,Vaginal,Menor de 15,17,2020
Monseñor Nouel,Vaginal,Menor de 15,4,2020
Sánchez Ramírez,Vaginal,Menor de 15,7,2020
Distrito Nacional,Cesarea,Menor de 15,79,2020
Monte Plata,Cesarea,Menor de 15,11,2020
Santo Domingo,Cesarea,Menor de 15,59,2020
Peravia,Cesarea,Menor de 15,3,2020
San Cristóbal,Cesarea,Menor de 15,28,2020
San José De Ocoa,Cesarea,Menor de 15,6,2020
Espaillat,Cesarea,Menor de 15,9,2020
Puerto Plata,Cesarea,Menor de 15,10,2020
Santiago,Cesarea,Menor de 15,13,2020
Duarte,Cesarea,Menor de 15,21,2020
Hermanas Mirabal,Cesarea,Menor de 15,4,2020
María Trinidad Sánchez,Cesarea,Menor de 15,7,2020
Samaná,Cesarea,Menor de 15,1,2020
Bahoruco,Cesarea,Menor de 15,1,2020
Barahona,Cesarea,Menor de 15,29,2020
Independencia,Cesarea,Menor de 15,2,2020
Pedernales,Cesarea,Menor de 15,3,2020
El Seibo,Cesarea,Menor de 15,3,2020
Hato Mayor,Cesarea,Menor de 15,5,2020
La Altagracia,Cesarea,Menor de 15,9,2020
La Romana,Cesarea,Menor de 15,14,2020
San Pedro De Macorís,Cesarea,Menor de 15,7,2020
Azua,Cesarea,Menor de 15,16,2020
Elías Piña,Cesarea,Menor de 15,1,2020
San Juan,Cesarea,Menor de 15,13,2020
Dajabón,Cesarea,Menor de 15,3,2020
Monte Cristi,Cesarea,Menor de 15,9,2020
Santiago Rodríguez,Cesarea,Menor de 15,3,2020
Valverde,Cesarea,Menor de 15,10,2020
La Vega,Cesarea,Menor de 15,23,2020
Monseñor Nouel,Cesarea,Menor de 15,17,2020
Sánchez Ramírez,Cesarea,Menor de 15,13,2020
Distrito Nacional,Vaginal,15-19,2533,2020
Monte Plata,Vaginal,15-19,328,2020
Santo Domingo,Vaginal,15-19,2186,2020
Peravia,Vaginal,15-19,394,2020
San Cristóbal,Vaginal,15-19,1213,2020
San José De Ocoa,Vaginal,15-19,100,2020
Espaillat,Vaginal,15-19,268,2020
Puerto Plata,Vaginal,15-19,416,2020
Santiago,Vaginal,15-19,1087,2020
Duarte,Vaginal,15-19,268,2020
Hermanas Mirabal,Vaginal,15-19,67,2020
María Trinidad Sánchez,Vaginal,15-19,170,2020
Samaná,Vaginal,15-19,98,2020
Bahoruco,Vaginal,15-19,179,2020
Barahona,Vaginal,15-19,545,2020
Independencia,Vaginal,15-19,93,2020
Pedernales,Vaginal,15-19,80,2020
El Seibo,Vaginal,15-19,110,2020
Hato Mayor,Vaginal,15-19,147,2020
La Altagracia,Vaginal,15-19,595,2020
La Romana,Vaginal,15-19,442,2020
San Pedro De Macorís,Vaginal,15-19,497,2020
Azua,Vaginal,15-19,444,2020
Elías Piña,Vaginal,15-19,241,2020
San Juan,Vaginal,15-19,634,2020
Dajabón,Vaginal,15-19,158,2020
Monte Cristi,Vaginal,15-19,204,2020
Santiago Rodríguez,Vaginal,15-19,89,2020
Valverde,Vaginal,15-19,350,2020
La Vega,Vaginal,15-19,386,2020
Monseñor Nouel,Vaginal,15-19,155,2020
Sánchez Ramírez,Vaginal,15-19,142,2020
Distrito Nacional,Cesarea,15-19,1739,2020
Monte Plata,Cesarea,15-19,239,2020
Santo Domingo,Cesarea,15-19,1614,2020
Peravia,Cesarea,15-19,242,2020
San Cristóbal,Cesarea,15-19,600,2020
San José De Ocoa,Cesarea,15-19,95,2020
Espaillat,Cesarea,15-19,170,2020
Puerto Plata,Cesarea,15-19,223,2020
Santiago,Cesarea,15-19,717,2020
Duarte,Cesarea,15-19,272,2020
Hermanas Mirabal,Cesarea,15-19,94,2020
María Trinidad Sánchez,Cesarea,15-19,173,2020
Samaná,Cesarea,15-19,79,2020
Bahoruco,Cesarea,15-19,104,2020
Barahona,Cesarea,15-19,388,2020
Independencia,Cesarea,15-19,47,2020
Pedernales,Cesarea,15-19,63,2020
El Seibo,Cesarea,15-19,118,2020
Hato Mayor,Cesarea,15-19,49,2020
La Altagracia,Cesarea,15-19,315,2020
La Romana,Cesarea,15-19,296,2020
San Pedro De Macorís,Cesarea,15-19,331,2020
Azua,Cesarea,15-19,253,2020
Elías Piña,Cesarea,15-19,35,2020
San Juan,Cesarea,15-19,250,2020
Dajabón,Cesarea,15-19,39,2020
Monte Cristi,Cesarea,15-19,148,2020
Santiago Rodríguez,Cesarea,15-19,85,2020
Valverde,Cesarea,15-19,209,2020
La Vega,Cesarea,15-19,452,2020
Monseñor Nouel,Cesarea,15-19,164,2020
Sánchez Ramírez,Cesarea,15-19,201,2020
Distrito Nacional,Vaginal,Menor de 15,59,2021
Monte Plata,Vaginal,Menor de 15,11,2021
Santo Domingo,Vaginal,Menor de 15,53,2021
Peravia,Vaginal,Menor de 15,5,2021
San Cristóbal,Vaginal,Menor de 15,24,2021
San José De Ocoa,Vaginal,Menor de 15,10,2021
